method,path,cli,permission,evidence
"GET","/app/rest/buildTypes/{btLocator}/agent-requirements","jobs agent-requirements list <job-id>","ReadOnly","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/agent-requirements/{agentRequirementLocator}","jobs agent-requirements show <job-id> <requirement-id>","ReadOnly","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"POST","/app/rest/buildTypes/{btLocator}/agent-requirements","jobs agent-requirements create <job-id> --type <type> --parameter <name> [--value <value>] [--disabled]","Update","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/agent-requirements/{agentRequirementLocator}","jobs agent-requirements replace <job-id> <requirement-id> --type <type> --parameter <name> [--value <value>] [--disabled]","Update","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"DELETE","/app/rest/buildTypes/{btLocator}/agent-requirements/{agentRequirementLocator}","jobs agent-requirements delete <job-id> <requirement-id>","Update","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/agent-requirements/{agentRequirementLocator}/{fieldName}","jobs agent-requirements fields show <job-id> <requirement-id> <field>","ReadOnly","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/agent-requirements/{agentRequirementLocator}/{fieldName}","jobs agent-requirements fields set <job-id> <requirement-id> <field> <value>","Update","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/artifact-dependencies","jobs artifact-dependencies list <job-id>","ReadOnly","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/artifact-dependencies/{artifactDepLocator}","jobs artifact-dependencies show <job-id> <dependency-id>","ReadOnly","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"POST","/app/rest/buildTypes/{btLocator}/artifact-dependencies","jobs artifact-dependencies create <job-id> --source <job-id> --rules <rules> --revision <revision-name> [--revision-value <value>] [--branch <branch>] [--clean] [--disabled]","Update","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/artifact-dependencies/{artifactDepLocator}","jobs artifact-dependencies replace <job-id> <dependency-id> --source <job-id> --rules <rules> --revision <revision-name> [--revision-value <value>] [--branch <branch>] [--clean] [--disabled]","Update","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"DELETE","/app/rest/buildTypes/{btLocator}/artifact-dependencies/{artifactDepLocator}","jobs artifact-dependencies delete <job-id> <dependency-id>","Update","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/artifact-dependencies/{artifactDepLocator}/{fieldName}","jobs artifact-dependencies fields show <job-id> <dependency-id> <field>","ReadOnly","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/artifact-dependencies/{artifactDepLocator}/{fieldName}","jobs artifact-dependencies fields set <job-id> <dependency-id> <field> <value>","Update","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"GET","/app/rest/projects/{projectLocator}/projectFeatures","projects features list <project-id>","ReadOnly","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"GET","/app/rest/projects/{projectLocator}/projectFeatures/{featureLocator}","projects features show <project-id> <feature-id>","ReadOnly","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"POST","/app/rest/projects/{projectLocator}/projectFeatures","projects features create <project-id> --type <type> [--property <key=value>]","Update","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"PUT","/app/rest/projects/{projectLocator}/projectFeatures/{featureLocator}","projects features replace <project-id> <feature-id> --type <type> [--property <key=value>]","Update","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"DELETE","/app/rest/projects/{projectLocator}/projectFeatures/{featureLocator}","projects features delete <project-id> <feature-id>","Update","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/steps/{stepId}/parameters","jobs steps parameters list <job-id> <step-id>","ReadOnly","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/steps/{stepId}/parameters","jobs steps parameters replace <job-id> <step-id> [--property <key=value>]","Update","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/steps/{stepId}/parameters/{parameterName}","jobs steps parameters show <job-id> <step-id> <name>","ReadOnly","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
