method,path,cli,permission
"GET","/app/rest/users","users list","ReadOnly"
"POST","/app/rest/users","users create","Admin"
"PUT","/app/rest/users/{userLocator}","users update","Admin"
"DELETE","/app/rest/users/{userLocator}","users delete","Admin"
"DELETE","/app/rest/users/{userLocator}/debug/rememberMe","users sessions forget-remembered","Admin"
"GET","/app/rest/users/{userLocator}/groups","users groups list","ReadOnly"
"PUT","/app/rest/users/{userLocator}/groups","users groups replace","Admin"
"GET","/app/rest/users/{userLocator}/groups/{groupLocator}","users groups show","ReadOnly"
"DELETE","/app/rest/users/{userLocator}/groups/{groupLocator}","users groups remove","Admin"
"POST","/app/rest/users/{userLocator}/logout","users sessions logout","Admin"
"GET","/app/rest/users/{userLocator}/permissions","users permissions list","ReadOnly"
"GET","/app/rest/users/{userLocator}/properties","users properties list","ReadOnly"
"GET","/app/rest/users/{userLocator}/properties/{name}","users properties exists","ReadOnly"
"PUT","/app/rest/users/{userLocator}/properties/{name}","users properties set","Admin"
"DELETE","/app/rest/users/{userLocator}/properties/{name}","users properties delete","Admin"
"GET","/app/rest/users/{userLocator}/roles","users roles list","ReadOnly"
"POST","/app/rest/users/{userLocator}/roles","users roles add","Admin"
"PUT","/app/rest/users/{userLocator}/roles","users roles replace","Admin"
"GET","/app/rest/users/{userLocator}/roles/{roleId}/{scope}","users roles show","ReadOnly"
"PUT","/app/rest/users/{userLocator}/roles/{roleId}/{scope}","users roles grant","Admin"
"DELETE","/app/rest/users/{userLocator}/roles/{roleId}/{scope}","users roles revoke","Admin"
"GET","/app/rest/users/{userLocator}/tokens","users tokens list","ReadOnly"
"POST","/app/rest/users/{userLocator}/tokens","users tokens create","Credentials"
"DELETE","/app/rest/users/{userLocator}/tokens/{name}","users tokens delete","Credentials"
"GET","/app/rest/users/{userLocator}/{field}","users fields get","ReadOnly"
"PUT","/app/rest/users/{userLocator}/{field}","users fields set","Admin"
"DELETE","/app/rest/users/{userLocator}/{field}","users fields clear","Admin"
"GET","/app/rest/userGroups","groups list","ReadOnly"
"POST","/app/rest/userGroups","groups create","Admin"
"GET","/app/rest/userGroups/{groupLocator}","groups show","ReadOnly"
"DELETE","/app/rest/userGroups/{groupLocator}","groups delete","Admin"
"GET","/app/rest/userGroups/{groupLocator}/parent-groups","groups parents list","ReadOnly"
"PUT","/app/rest/userGroups/{groupLocator}/parent-groups","groups parents replace","Admin"
"GET","/app/rest/userGroups/{groupLocator}/properties","groups properties list","ReadOnly"
"GET","/app/rest/userGroups/{groupLocator}/properties/{name}","groups properties exists","ReadOnly"
"PUT","/app/rest/userGroups/{groupLocator}/properties/{name}","groups properties set","Admin"
"DELETE","/app/rest/userGroups/{groupLocator}/properties/{name}","groups properties delete","Admin"
"GET","/app/rest/userGroups/{groupLocator}/roles","groups roles list","ReadOnly"
"POST","/app/rest/userGroups/{groupLocator}/roles","groups roles add","Admin"
"PUT","/app/rest/userGroups/{groupLocator}/roles","groups roles replace","Admin"
"GET","/app/rest/userGroups/{groupLocator}/roles/{roleId}/{scope}","groups roles show","ReadOnly"
"POST","/app/rest/userGroups/{groupLocator}/roles/{roleId}/{scope}","groups roles grant","Admin"
"DELETE","/app/rest/userGroups/{groupLocator}/roles/{roleId}/{scope}","groups roles revoke","Admin"
"GET","/app/rest/server/nodes","server nodes list","ReadOnly"
"GET","/app/rest/server/nodes/{nodeLocator}","server nodes show","ReadOnly"
"GET","/app/rest/server/nodes/{nodeLocator}/disabledResponsibilities","server nodes responsibilities disabled","ReadOnly"
"GET","/app/rest/server/nodes/{nodeLocator}/effectiveResponsibilities","server nodes responsibilities effective","ReadOnly"
"GET","/app/rest/server/nodes/{nodeLocator}/enabledResponsibilities","server nodes responsibilities enabled","ReadOnly"
"PUT","/app/rest/server/nodes/{nodeLocator}/enabledResponsibilities/{name}","server nodes responsibilities set","Admin"
"GET","/app/rest/apiVersion","server api-version","ReadOnly"
