method,path,cli,permission
"GET","/app/rest/builds/aggregated/{buildLocator}/status","builds batch status --build <id>","ReadOnly"
"GET","/app/rest/builds/multiple/{buildLocator}","builds batch show --build <id>","ReadOnly"
"POST","/app/rest/builds/multiple/{buildLocator}","builds batch cancel --build <id> --comment <text>","Update"
"DELETE","/app/rest/builds/multiple/{buildLocator}","builds batch delete --build <id>","Update"
"PUT","/app/rest/builds/multiple/{buildLocator}/comment","builds batch comment set --build <id> --text <text>","Update"
"DELETE","/app/rest/builds/multiple/{buildLocator}/comment","builds batch comment clear --build <id>","Update"
"PUT","/app/rest/builds/multiple/{buildLocator}/pinInfo","builds batch pin --build <id> --status <boolean>","Update"
"POST","/app/rest/builds/multiple/{buildLocator}/tags","builds batch tags add --build <id> --tag <name>","Update"
"DELETE","/app/rest/builds/multiple/{buildLocator}/tags","builds batch tags remove --build <id> --tag <name>","Update"
"GET","/app/rest/builds/{buildLocator}/artifactDependencyChanges","builds artifact-changes <id>","ReadOnly"
"DELETE","/app/rest/builds/{buildLocator}/caches/finishProperties","builds reset-finish-cache <id>","Update"
"PUT","/app/rest/builds/{buildLocator}/finish","builds finish <id>","Update"
"PUT","/app/rest/builds/{buildLocator}/finishDate","builds finish-at <id> <timestamp>","Update"
"POST","/app/rest/builds/{buildLocator}/log","builds log append <id> --text <text>","Update"
"GET","/app/rest/builds/{buildLocator}/problemOccurrences","builds problem-occurrences list <id>","ReadOnly"
"POST","/app/rest/builds/{buildLocator}/problemOccurrences","builds problem-occurrences add <id> --text <description>","Update"
"GET","/app/rest/builds/{buildLocator}/relatedIssues","builds related-issues <id>","ReadOnly"
"PUT","/app/rest/builds/{buildLocator}/runningData","builds start-agentless <id> --requestor <text>","Update"
"POST","/app/rest/builds/{buildLocator}/status","builds set-status <id> <status> --comment <text>","Update"
"GET","/app/rest/builds/{buildLocator}/testOccurrences","builds test-occurrences <id>","ReadOnly"
"GET","/app/rest/builds/{buildLocator}/vcsLabels","builds vcs-labels list <id>","ReadOnly"
"POST","/app/rest/builds/{buildLocator}/vcsLabels","builds vcs-labels add <id> --label <text> --root-instance <id>","Update"
"GET","/app/rest/changes/{changeLocator}/duplicates","changes duplicates <id>","ReadOnly"
"GET","/app/rest/changes/{changeLocator}/firstBuilds","changes first-builds <id>","ReadOnly"
"GET","/app/rest/changes/{changeLocator}/issues","changes issues <id>","ReadOnly"
"GET","/app/rest/changes/{changeLocator}/parentRevisions","changes parent-revisions <id>","ReadOnly"
"GET","/app/rest/changes/{changeLocator}/vcsRootInstance","changes root-instance <id>","ReadOnly"
"GET","/app/rest/changes/{changeLocator}/{field}","changes field <id> <field>","ReadOnly"
"GET","/app/rest/investigations","investigations list","ReadOnly"
"POST","/app/rest/investigations","investigations create --item <json>","Update"
"POST","/app/rest/investigations/multiple","investigations create-many --item <json>","Update"
"GET","/app/rest/investigations/{investigationLocator}","investigations show --target <json>","ReadOnly"
"PUT","/app/rest/investigations/{investigationLocator}","investigations replace --item <json>","Update"
"DELETE","/app/rest/investigations/{investigationLocator}","investigations delete --target <json>","Update"
"GET","/app/rest/mutes","mutes list","ReadOnly"
"POST","/app/rest/mutes","mutes create --item <json>","Update"
"POST","/app/rest/mutes/multiple","mutes create-many --item <json>","Update"
"GET","/app/rest/mutes/{muteLocator}","mutes show <id>","ReadOnly"
"DELETE","/app/rest/mutes/{muteLocator}","mutes delete <id>","Update"
"GET","/app/rest/tests","tests list","ReadOnly"
"GET","/app/rest/tests/{testLocator}","tests show <id>","ReadOnly"
"GET","/app/rest/testOccurrences/{testLocator}","tests occurrence <id> --build <id>","ReadOnly"
"GET","/app/rest/problems","problems list","ReadOnly"
"GET","/app/rest/problems/{problemLocator}","problems show <id>","ReadOnly"
"GET","/app/rest/problemOccurrences/{problemLocator}","problems occurrence <id> --build <id>","ReadOnly"
"GET","/app/rest/builds/{buildLocator}/output-parameters","builds output-parameters list <id>","ReadOnly"
"GET","/app/rest/builds/{buildLocator}/output-parameters/{propertyName}","builds output-parameters exists <id> <name>","ReadOnly"
"GET","/app/rest/builds/{buildLocator}/resulting-properties","builds resulting-properties list <id>","ReadOnly"
"GET","/app/rest/builds/{buildLocator}/resulting-properties/{propertyName}","builds resulting-properties exists <id> <name>","ReadOnly"
"GET","/app/rest/changes/{changeLocator}/attributes","changes attributes <id>","ReadOnly"
