method,path,cli,permission,evidence
"GET","/app/rest/agentPools","pools list [--limit <count>] [--start <offset>]","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"POST","/app/rest/agentPools","pools create --name <name>","Update","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"GET","/app/rest/agentPools/{agentPoolLocator}","pools show <pool-id>","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"DELETE","/app/rest/agentPools/{agentPoolLocator}","pools delete <pool-id>","Update","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"GET","/app/rest/agentPools/{agentPoolLocator}/{field}","pools fields show <pool-id> <field>","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"PUT","/app/rest/agentPools/{agentPoolLocator}/{field}","pools fields set <pool-id> <field> <value>","Update","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"GET","/app/rest/agentPools/{agentPoolLocator}/agents","pools agents list <pool-id> [--limit <count>] [--start <offset>]","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"POST","/app/rest/agentPools/{agentPoolLocator}/agents","pools agents assign <pool-id> <agent-id>","Update","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"GET","/app/rest/agentPools/{agentPoolLocator}/projects","pools projects list <pool-id>","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"POST","/app/rest/agentPools/{agentPoolLocator}/projects","pools projects assign <pool-id> <project-id>","Update","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"DELETE","/app/rest/agentPools/{agentPoolLocator}/projects/{projectLocator}","pools projects unassign <pool-id> <project-id>","Update","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"DELETE","/app/rest/agents/{agentLocator}","agents delete <agent-id>","Update","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"GET","/app/rest/agents/{agentLocator}/authorizedInfo","agents authorized show <agent-id>","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"PUT","/app/rest/agents/{agentLocator}/authorizedInfo","agents authorized set <agent-id> <true|false> [--comment <text>]","Update","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"GET","/app/rest/agents/{agentLocator}/enabledInfo","agents enabled show <agent-id>","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"PUT","/app/rest/agents/{agentLocator}/enabledInfo","agents enabled set <agent-id> <true|false> [--comment <text>]","Update","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"GET","/app/rest/agents/{agentLocator}/compatibilityPolicy","agents policy show <agent-id>","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"PUT","/app/rest/agents/{agentLocator}/compatibilityPolicy","agents policy set <agent-id> <any|selected> [--job <job-id>]","Update","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"GET","/app/rest/agents/{agentLocator}/pool","agents pool show <agent-id>","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"PUT","/app/rest/agents/{agentLocator}/pool","agents pool set <agent-id> <pool-id>","Update","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
