method,path,cli,permission,evidence
"GET","/app/rest/buildTypes/{btLocator}/triggers","jobs triggers list <job-id>","ReadOnly","tests/authoring.test.ts + tests/configuration-cases.ts + tests/configuration.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/triggers/{triggerLocator}","jobs triggers show <job-id> <trigger-id>","ReadOnly","tests/authoring.test.ts + tests/configuration-cases.ts + tests/configuration.test.ts"
"POST","/app/rest/buildTypes/{btLocator}/triggers","jobs triggers create <job-id> --type <type> [--property <key=value>] [--enabled]","Update","tests/authoring.test.ts + tests/configuration-cases.ts + tests/configuration.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/triggers/{triggerLocator}","jobs triggers replace <job-id> <trigger-id> --type <type> [--property <key=value>] [--enabled]","Update","tests/authoring.test.ts + tests/configuration-cases.ts + tests/configuration.test.ts"
"DELETE","/app/rest/buildTypes/{btLocator}/triggers/{triggerLocator}","jobs triggers delete <job-id> <trigger-id>","Update","tests/authoring.test.ts + tests/configuration-cases.ts + tests/configuration.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/features","jobs features list <job-id>","ReadOnly","tests/authoring.test.ts + tests/configuration-cases.ts + tests/configuration.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/features/{featureId}","jobs features show <job-id> <feature-id>","ReadOnly","tests/authoring.test.ts + tests/configuration-cases.ts + tests/configuration.test.ts"
"POST","/app/rest/buildTypes/{btLocator}/features","jobs features create <job-id> --type <type> [--property <key=value>] [--enabled]","Update","tests/authoring.test.ts + tests/configuration-cases.ts + tests/configuration.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/features/{featureId}","jobs features replace <job-id> <feature-id> --type <type> [--property <key=value>] [--enabled]","Update","tests/authoring.test.ts + tests/configuration-cases.ts + tests/configuration.test.ts"
"DELETE","/app/rest/buildTypes/{btLocator}/features/{featureId}","jobs features delete <job-id> <feature-id>","Update","tests/authoring.test.ts + tests/configuration-cases.ts + tests/configuration.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/snapshot-dependencies","jobs snapshot-dependencies list <job-id>","ReadOnly","tests/authoring.test.ts + tests/configuration-cases.ts + tests/configuration.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/snapshot-dependencies/{snapshotDepLocator}","jobs snapshot-dependencies show <job-id> <dependency-id>","ReadOnly","tests/authoring.test.ts + tests/configuration-cases.ts + tests/configuration.test.ts"
"POST","/app/rest/buildTypes/{btLocator}/snapshot-dependencies","jobs snapshot-dependencies create <job-id> --source <upstream-job-id> [--property <key=value>]","Update","tests/authoring.test.ts + tests/configuration-cases.ts + tests/configuration.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/snapshot-dependencies/{snapshotDepLocator}","jobs snapshot-dependencies replace <job-id> <dependency-id> --source <upstream-job-id> [--property <key=value>]","Update","tests/authoring.test.ts + tests/configuration-cases.ts + tests/configuration.test.ts"
"DELETE","/app/rest/buildTypes/{btLocator}/snapshot-dependencies/{snapshotDepLocator}","jobs snapshot-dependencies delete <job-id> <dependency-id>","Update","tests/authoring.test.ts + tests/configuration-cases.ts + tests/configuration.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/templates","jobs templates list <job-id>","ReadOnly","tests/authoring.test.ts + tests/configuration-cases.ts + tests/configuration.test.ts"
"POST","/app/rest/buildTypes/{btLocator}/templates","jobs templates attach <job-id> --template <template-id> [--optimize-settings]","Update","tests/authoring.test.ts + tests/configuration-cases.ts + tests/configuration.test.ts"
"DELETE","/app/rest/buildTypes/{btLocator}/templates/{templateLocator}","jobs templates detach <job-id> <template-id> [--inline-settings]","Update","tests/authoring.test.ts + tests/configuration-cases.ts + tests/configuration.test.ts"
