method,path,cli,permission,evidence
"POST","/app/rest/projects","projects create <id> --name <name> [--parent <id>] [--description <text>]","Update","tests/authoring.test.ts + tests/authoring-cases.ts"
"PUT","/app/rest/projects/{projectLocator}/{field}","projects set <id> <field> <value>","Update","tests/authoring.test.ts + tests/authoring-cases.ts"
"PUT","/app/rest/projects/{projectLocator}/parentProject","projects move <id> --parent <id>","Update","tests/authoring.test.ts + tests/authoring-cases.ts"
"DELETE","/app/rest/projects/{projectLocator}","projects delete <id>","Update","tests/authoring.test.ts + tests/authoring-cases.ts"
"POST","/app/rest/buildTypes","jobs create <id> --project <id> --name <name> [--description <text>]","Update","tests/authoring.test.ts + tests/authoring-cases.ts"
"PUT","/app/rest/buildTypes/{btLocator}/{field}","jobs set <id> <field> <value>","Update","tests/authoring.test.ts + tests/authoring-cases.ts"
"POST","/app/rest/buildTypes/{btLocator}/move","jobs move <id> --project <id>","Update","tests/authoring.test.ts + tests/authoring-cases.ts"
"DELETE","/app/rest/buildTypes/{btLocator}","jobs delete <id>","Update","tests/authoring.test.ts + tests/authoring-cases.ts"
"GET","/app/rest/projects/{projectLocator}/parameters","projects parameters list <project-id>","ReadOnly","tests/authoring.test.ts + tests/authoring-cases.ts"
"GET","/app/rest/projects/{projectLocator}/parameters/{name}","projects parameters show <project-id> <name>","ReadOnly","tests/authoring.test.ts + tests/authoring-cases.ts"
"POST","/app/rest/projects/{projectLocator}/parameters","projects parameters create <project-id> <name> --value <value>","Update","tests/authoring.test.ts + tests/authoring-cases.ts"
"PUT","/app/rest/projects/{projectLocator}/parameters/{name}","projects parameters set <project-id> <name> --value <value>","Update","tests/authoring.test.ts + tests/authoring-cases.ts"
"DELETE","/app/rest/projects/{projectLocator}/parameters/{name}","projects parameters delete <project-id> <name>","Update","tests/authoring.test.ts + tests/authoring-cases.ts"
"GET","/app/rest/buildTypes/{btLocator}/parameters","jobs parameters list <job-id>","ReadOnly","tests/authoring.test.ts + tests/authoring-cases.ts"
"GET","/app/rest/buildTypes/{btLocator}/parameters/{name}","jobs parameters show <job-id> <name>","ReadOnly","tests/authoring.test.ts + tests/authoring-cases.ts"
"POST","/app/rest/buildTypes/{btLocator}/parameters","jobs parameters create <job-id> <name> --value <value>","Update","tests/authoring.test.ts + tests/authoring-cases.ts"
"PUT","/app/rest/buildTypes/{btLocator}/parameters/{name}","jobs parameters set <job-id> <name> --value <value>","Update","tests/authoring.test.ts + tests/authoring-cases.ts"
"DELETE","/app/rest/buildTypes/{btLocator}/parameters/{name}","jobs parameters delete <job-id> <name>","Update","tests/authoring.test.ts + tests/authoring-cases.ts"
"GET","/app/rest/buildTypes/{btLocator}/steps","jobs steps list <job-id>","ReadOnly","tests/authoring.test.ts + tests/authoring-cases.ts"
"POST","/app/rest/buildTypes/{btLocator}/steps","jobs steps create <job-id> --name <name> --type <runner-type> [--property <key=value>...]","Update","tests/authoring.test.ts + tests/authoring-cases.ts"
"GET","/app/rest/buildTypes/{btLocator}/steps/{stepId}","jobs steps show <job-id> <step-id>","ReadOnly","tests/authoring.test.ts + tests/authoring-cases.ts"
"PUT","/app/rest/buildTypes/{btLocator}/steps/{stepId}","jobs steps replace <job-id> <step-id> --name <name> --type <runner-type> [--property <key=value>...]","Update","tests/authoring.test.ts + tests/authoring-cases.ts"
"DELETE","/app/rest/buildTypes/{btLocator}/steps/{stepId}","jobs steps delete <job-id> <step-id>","Update","tests/authoring.test.ts + tests/authoring-cases.ts"
"GET","/app/rest/vcs-roots","vcs roots list [--project <id>] [--limit <count>] [--start <offset>]","ReadOnly","tests/authoring.test.ts + tests/authoring-cases.ts"
"GET","/app/rest/vcs-roots/{vcsRootLocator}","vcs roots show <id>","ReadOnly","tests/authoring.test.ts + tests/authoring-cases.ts"
"GET","/app/rest/buildTypes/{btLocator}/vcs-root-entries","jobs vcs list <job-id>","ReadOnly","tests/authoring.test.ts + tests/authoring-cases.ts"
"POST","/app/rest/buildTypes/{btLocator}/vcs-root-entries","jobs vcs attach <job-id> --root <root-id> [--checkout-rules <rules>]","Update","tests/authoring.test.ts + tests/authoring-cases.ts"
"GET","/app/rest/buildTypes/{btLocator}/vcs-root-entries/{vcsRootLocator}","jobs vcs show <job-id> <root-id>","ReadOnly","tests/authoring.test.ts + tests/authoring-cases.ts"
"PUT","/app/rest/buildTypes/{btLocator}/vcs-root-entries/{vcsRootLocator}","jobs vcs replace <job-id> <root-id> --checkout-rules <rules>","Update","tests/authoring.test.ts + tests/authoring-cases.ts"
"DELETE","/app/rest/buildTypes/{btLocator}/vcs-root-entries/{vcsRootLocator}","jobs vcs detach <job-id> <root-id>","Update","tests/authoring.test.ts + tests/authoring-cases.ts"
"GET","/app/rest/buildTypes/{btLocator}/vcs-root-entries/{vcsRootLocator}/checkout-rules","jobs vcs checkout-rules show <job-id> <root-id>","ReadOnly","tests/authoring.test.ts + tests/authoring-cases.ts"
"PUT","/app/rest/buildTypes/{btLocator}/vcs-root-entries/{vcsRootLocator}/checkout-rules","jobs vcs checkout-rules set <job-id> <root-id> --rules <rules>","Update","tests/authoring.test.ts + tests/authoring-cases.ts"
